,account_id,bank_district_id,frequency,acc_open_year,acc_open_month,acc_open_day,LOR,client_id,type,client_district_id,birth_year_x,birth_day_x,gender_x,age,age_group,age_grp_desc,total_credit,total_withdrawal,account_id_trans,trans_id_trans,initial_transaction,latest_transaction,amount_trans,balance_trans,credits,withdrawals,cash_credit,credit_bank_transfer,cash_withdrawal,unknown,remittance_bank_transfer_Withdrawal,credit_card_withdrawal,account_id_order,order_count_order,recipient_bank_count_order,recipient_account_count_order,total_payment_amount_order,total_household_payments_order,total_loan_payments_order, total_insurance_payments_order,total_lease_payments_order,total_unknown_payment_order,district_id_district,district_name_district,region_district,inhabitants_district,municipalities_w_inhabitants_less_then_499_district,municipalities_w_inhabitants_500_1999_district,municipalities_w_inhabitants_2000_9999_district,municipalities_w_inhabitants_grater_then_10k_district,no_of_cities_district,ratio_of_urban_inhabitants_district,average_salary_district,unemployment_rate_95_district,unemployment_rate_96_district,entrepreneurs_per_1000_inhabitants_district,crimes_1995_district,crimes_1996_district,loan_id_loan,date_loan,amount_loan,duration_loan,payments_loan,status_loan,year_loan,month_loan,day_loan,status_desc_loan,loan_issued_in_97,card_id_card,type_card,issued_card,issued_year_card,issued_month_card,issued_day_card,card_issued_in_97,gender_y
15,652,21,MONTHLY FEE,1993,1,5,3,782,OWNER,5,1963,18,F,33,30,young adult,174018.6,176327.4,652,400,1993-01-05,1998-12-31,2075107.9,68449.9,159,0,1026500.0,0.0,518992.65,13427.25,516188.0,0.0,652.0,1.0,1.0,1.0,7591.0,7591.0,0.0,0.0,0.0,0.0,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616.0,3040,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
16,9635,70,MONTHLY FEE,1993,1,5,3,11860,OWNER,70,1925,30,F,71,70,senior,55270.799999999996,50925.4,9635,414,1993-01-05,1998-12-31,653285.4,6921.1,212,0,400.0,321840.0,321600.35,9445.050000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878.0,10108,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
17,1844,44,MONTHLY FEE,1993,1,6,3,2236,OWNER,44,1978,27,F,18,10,young adult,40526.8,39887.4,1844,321,1993-01-06,1998-12-31,445267.0,43524.8,145,0,500.0,233424.0,55582.65,8812.35,146948.0,0.0,1844.0,1.0,1.0,1.0,2161.0,2161.0,0.0,0.0,0.0,0.0,44,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166.0,2325,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
18,1926,37,MONTHLY FEE,1993,1,6,3,2338,OWNER,58,1957,25,F,39,30,adult,71184.8,82703.4,1926,447,1993-01-06,1998-12-31,817688.95,22197.6,171,0,412046.0,0.0,198192.65,6182.3,201268.0,0.0,1926.0,2.0,2.0,2.0,3004.0,2643.0,0.0,0.0,0.0,361.0,58,Jihlava,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212.0,2471,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
19,2393,10,MONTHLY FEE,1993,1,7,3,2889,OWNER,25,1943,5,M,53,50,adult,142067.3,150979.4,2393,416,1993-01-07,1998-12-31,1665613.9,48060.5,152,0,835020.0,0.0,533452.65,9577.25,287564.0,0.0,2393.0,2.0,2.0,2.0,5545.0,4292.0,0.0,0.0,1253.0,0.0,25,Klatovy,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822.0,2218,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
20,3510,41,MONTHLY FEE,1993,1,7,3,4238,OWNER,41,1971,26,F,25,20,young adult,106225.7,163074.4,3510,400,1993-01-07,1998-12-31,2859923.65,47529.7,176,0,1237832.0,0.0,1604887.1,17204.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
21,1276,36,MONTHLY FEE,1993,1,7,3,1540,OWNER,36,1937,7,M,59,50,senior,97711.8,91367.4,1276,551,1993-01-07,1998-12-31,1201933.8,22799.9,176,0,602272.0,0.0,284412.65,8330.15,306919.0,0.0,1276.0,3.0,3.0,3.0,4516.0,3839.0,0.0,169.0,0.0,508.0,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796.0,6132,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
22,1637,1,MONTHLY FEE,1993,1,8,3,1984,OWNER,1,1926,29,M,70,70,senior,69627.05,70741.4,1637,426,1993-01-08,1998-12-31,806698.85,34367.0,145,0,500.0,411696.0,163862.65,6659.2,223981.0,0.0,1637.0,2.0,2.0,2.0,3343.0,3343.0,0.0,0.0,0.0,0.0,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
23,3871,26,MONTHLY FEE,1993,1,8,3,4665,OWNER,9,1926,27,F,70,70,senior,54041.2,60051.4,3871,422,1993-01-08,1998-12-31,582005.75,59739.6,139,0,300.0,309276.0,151804.7,9539.05,111086.0,0.0,3871.0,2.0,2.0,2.0,1658.0,1658.0,0.0,0.0,0.0,0.0,9,Nymburk,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987.0,2487,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
24,192,55,MONTHLY FEE,1993,1,8,3,232,OWNER,55,1921,17,F,75,70,senior,71722.0,78781.4,192,349,1993-01-08,1998-12-31,820091.55,29946.5,139,0,300.0,415989.0,156764.7,6976.85,240061.0,0.0,192.0,1.0,1.0,1.0,3583.0,3583.0,0.0,0.0,0.0,0.0,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659.0,3894,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
25,764,1,MONTHLY FEE,1993,1,8,3,914,OWNER,1,1921,19,F,75,70,senior,76020.5,72745.4,764,359,1993-01-08,1998-12-31,882786.65,21491.3,139,0,1100.0,442898.0,273984.7,6683.95,158120.0,0.0,764.0,1.0,1.0,1.0,2360.0,2360.0,0.0,0.0,0.0,0.0,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
26,2087,7,FEE OF THE WEEK,1993,1,8,3,2530,OWNER,8,1950,11,M,46,40,adult,123667.3,205715.4,2087,380,1993-01-08,1998-12-31,2465250.45,61954.5,169,0,1097902.0,0.0,1353138.65,14209.8,0.0,0.0,2087.0,1.0,1.0,1.0,4619.9,0.0,0.0,0.0,4619.9,0.0,8,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179.0,4987,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
27,2122,68,MONTHLY FEE,1993,1,8,3,2566,OWNER,29,1963,25,F,33,30,young adult,125520.90000000001,133594.4,2122,470,1993-01-08,1998-12-31,3320049.6,41803.8,191,0,1425477.0,0.0,1357083.6,16405.0,521084.0,0.0,2122.0,1.0,1.0,1.0,7663.0,7663.0,0.0,0.0,0.0,0.0,29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818.0,888,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
28,3592,54,MONTHLY FEE,1993,1,8,3,4335,OWNER,54,1924,25,F,72,70,senior,73179.8,82895.4,3592,351,1993-01-08,1998-12-31,860355.65,21075.9,145,0,600.0,432504.0,192242.65,6529.0,228480.0,0.0,3592.0,1.0,1.0,1.0,3360.0,3360.0,0.0,0.0,0.0,0.0,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721.0,18696,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
29,3487,41,MONTHLY FEE,1993,1,8,3,4215,OWNER,49,1952,8,F,44,40,adult,166593.2,200575.4,3487,469,1993-01-08,1998-12-31,2186299.2,80704.8,152,0,1001800.0,0.0,614852.65,15221.55,554425.0,0.0,3487.0,2.0,2.0,2.0,8275.0,324.0,0.0,0.0,0.0,7951.0,49,Semily,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660.0,2123,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
30,435,38,MONTHLY FEE,1993,1,8,3,523,OWNER,38,1922,17,M,74,70,senior,61814.1,62213.4,435,339,1993-01-08,1998-12-31,706229.9,27135.0,139,0,400.0,357769.0,130804.7,6782.2,210474.0,0.0,435.0,1.0,1.0,1.0,3189.0,3189.0,0.0,0.0,0.0,0.0,38,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653.0,2822,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
31,1730,1,MONTHLY FEE,1993,1,9,3,2099,OWNER,1,1918,16,M,78,70,senior,82377.3,71761.4,1730,372,1993-01-09,1998-12-31,909358.65,67162.7,141,0,900.0,474919.0,289704.7,11308.95,132526.0,0.0,1730.0,1.0,1.0,1.0,1978.0,1978.0,0.0,0.0,0.0,0.0,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
32,1493,41,MONTHLY FEE,1993,1,9,3,1810,OWNER,41,1919,30,M,77,70,senior,60998.549999999996,67828.8,1493,411,1993-01-09,1998-12-31,720249.1,17535.9,145,0,200.0,360648.0,197302.65,5857.8,156240.65,0.0,1493.0,2.0,2.0,2.0,2315.0,2315.0,0.0,0.0,0.0,0.0,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
33,374,38,MONTHLY FEE,1993,1,9,3,454,OWNER,38,1949,15,F,47,40,adult,165628.0,223515.4,374,371,1993-01-09,1998-12-31,2460377.3,45678.2,150,0,24400.0,965600.0,1457349.7,13027.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653.0,2822,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
34,2925,1,MONTHLY FEE,1993,1,10,3,3533,OWNER,1,1963,1,F,33,30,young adult,91782.25,101079.4,2925,385,1993-01-10,1998-12-31,1066975.0,32686.9,161,0,541988.0,0.0,225152.65,7638.35,292196.0,0.0,2925.0,1.0,1.0,1.0,4297.0,4297.0,0.0,0.0,0.0,0.0,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
35,866,9,MONTHLY FEE,1993,1,10,3,1044,OWNER,9,1971,13,F,25,20,young adult,158487.4,166786.8,866,628,1993-01-10,1998-12-31,1886264.75,60553.8,152,0,943440.0,0.0,604352.65,11448.45,327023.64999999997,0.0,866.0,4.0,4.0,4.0,4851.0,465.0,0.0,504.0,0.0,3882.0,9,Nymburk,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987.0,2487,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
36,1628,60,MONTHLY FEE,1993,1,10,3,1973,OWNER,60,1931,13,F,65,60,senior,52208.25,48385.4,1628,332,1993-01-10,1998-12-31,611825.35,19838.2,145,0,700.0,307872.0,106692.65,5610.7,190950.0,0.0,1628.0,1.0,1.0,1.0,2850.0,2850.0,0.0,0.0,0.0,0.0,60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879.0,2252,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
37,2379,44,MONTHLY FEE,1993,1,10,3,2874,OWNER,34,1972,10,M,24,20,young adult,66755.95,65650.8,2379,485,1993-01-10,1998-12-31,835013.45,30353.9,152,0,426144.0,0.0,177744.7,6462.1,224662.65,0.0,2379.0,3.0,3.0,3.0,3381.0,3190.0,0.0,46.0,0.0,145.0,34,Chomutov,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323.0,5190,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
38,1979,26,MONTHLY FEE,1993,1,11,3,2404,OWNER,27,1977,5,F,19,10,young adult,37401.1,37373.4,1979,358,1993-01-11,1998-12-31,425800.3,19783.3,139,0,900.0,214491.0,71804.7,5680.6,132924.0,0.0,1979.0,1.0,1.0,1.0,2014.0,2014.0,0.0,0.0,0.0,0.0,27,Plzen - jih,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029.0,1127,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
39,346,37,MONTHLY FEE,1993,1,11,3,423,OWNER,37,1957,23,M,39,30,adult,165708.8,250555.4,346,419,1993-01-11,1998-12-31,2397681.65,51752.3,146,0,974100.0,0.0,882784.7,13171.95,527625.0,0.0,346.0,1.0,1.0,1.0,7875.0,7875.0,0.0,0.0,0.0,0.0,37,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147.0,4166,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
40,1338,74,MONTHLY FEE,1993,1,11,3,1619,OWNER,74,1942,27,F,54,50,adult,161072.8,220303.4,1338,592,1993-01-11,1998-12-31,2885714.85,108976.6,182,0,1181158.0,0.0,1314719.65,14704.2,375133.0,0.0,1338.0,3.0,3.0,3.0,5599.0,4545.0,0.0,157.0,0.0,897.0,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782.0,18347,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
41,1909,14,MONTHLY FEE,1993,1,12,3,2319,OWNER,40,1970,16,F,26,20,young adult,39184.1,42478.8,1909,486,1993-01-12,1998-12-31,455089.7,14968.1,139,0,800.0,226561.0,78394.7,5153.35,144180.65,0.0,1909.0,3.0,2.0,3.0,2127.0,43.0,0.0,928.0,0.0,1156.0,40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949.0,6872,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,F
42,2099,3,FEE OF THE WEEK,1993,1,12,3,2542,OWNER,3,1944,19,M,52,50,adult,254916.4,268399.4,2099,393,1993-01-12,1998-12-31,2710068.75,96474.9,175,0,1200307.0,0.0,1487890.5,18571.25,0.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824.0,2813,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,405.0,classic,1998-08-31 00:00:00,1998.0,8.0,31.0,0.0,M
43,3760,44,MONTHLY FEE,1993,1,13,3,4536,OWNER,41,1947,14,M,49,40,adult,191904.4,264128.4,3760,391,1993-01-13,1998-12-31,2771490.7,111133.6,177,0,1306657.0,0.0,1450401.6500000001,14432.05,0.0,0.0,3760.0,1.0,1.0,1.0,2947.8,0.0,0.0,0.0,2947.8,0.0,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
44,5270,44,MONTHLY FEE,1993,1,13,3,6367,OWNER,44,1970,28,M,26,20,young adult,166225.3,312779.4,5270,462,1993-01-13,1998-12-31,3091577.55,95340.6,149,0,5400.0,979200.0,2006800.6500000001,20568.9,79608.0,0.0,5270.0,1.0,1.0,1.0,3317.0,0.0,3317.0,0.0,0.0,0.0,44,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166.0,2325,6077.0,1993-11-22,79608.0,24.0,3317.0,A,1993,11,22,loan_fully_paid,0.0,0.0,0,0,0.0,0.0,0.0,0.0,M
